2F4U,Too Fast For You
AAMOF,As a Matter of Fact
ACK,Acknowledgment
AFAIK,As far as I know
AFAIR,As far as I remember
AFK,Away from Keyboard
AKA,Also known as
BTW,By the Way
B/C,Because
bc,Because
C&P,Copy and Paste
DIY,Do it Yourself
FAQ,Frequently asked Questions
FWIW,For what it's Worth
FYI,For your Information
FTW,For the Win
HF,Have fun
HTH,Hope this Helps
IDK,I don't know
IIRC,If I Recall
IMHO,In my Humble Opinion
IMO,In my Opinion
IOW,In other Words
ITT,In this Thread
LOL,Laughing out loud
DGMW,Don't get me wrong
SMH,Shaking my head
OFC,Of course
SMS,Short Message Service
LMK,let me know
ROFL,Rolling on floor laughing
YOLO,You Only Live Once
LMAO,laughing my ass off
LMFAO,laughing my fucking ass off
lit,good amazing
af,as fuck
tf,what the fuck
bae,babe girlfriend
dae,does anybody else
dafuq,what the fuck
dm,direct message
lul,laughing out loud
kek,laughing out loud
lulz,laughing out loud
mfw,my face when
meirl,me in real life
me_irl,me in real life
sfw,safe for work
nsfl,not safe for life
til,today i learned
fml,fuck my life
IDGAF,I Don’t Give A Fuck
FTFY,Fixed That For You
eli5,explain like i'm 5
OMG,Oh my God
OP,Original Poster, Original Post
POV,Point of View
ROTFL,Rolling on the Floor Laughing
TBA,To be Announced
THX Thanks
TNX,Thanks
TY,Thank you
TYT,Take your Time
TTYL,Talk to you Later
WTH,What the Hell
WTF,What the Fuck
2moro,Tomorrow
2nte,Tonight
BFF,Best Friends, Forever
BRB,Be right Back
BRT,Be right There
F2F,Face to Face
GR8,Great
IDC,I Don't Care
IDK,I Don't Know
ILU,I Love You
ILY,I Love You
IRL,In Real Life
J/K,Just Kidding
JK,Just Kidding
KMS,Kill Myself
L8R,Later
MYOB,Mind Your Own Business
NP,No Problem
NSFW,Not Safe for Work
NVM,Never Mind
OMW,On My Way
QT,Cutie
RN,Right Now
UR,Your
W8,Wait
WB,Welcome Back
XOXO,Hugs and Kisses
XOXOXO,Hugs and Kisses
