2f4u,too fast for you
aamof,as a matter of fact
ack,acknowledgment
afaik,as far as i know
afair,as far as i remember
afk,away from keyboard
aka,also known as
btw,by the way
b/c,because
bc,because
c&p,copy and paste
diy,do it yourself
faq,frequently asked questions
fwiw,for what it's worth
fyi,for your information
ftw,for the win
hf,have fun
hth,hope this helps
idk,i don't know
iirc,if i recall
imho,in my humble opinion
imo,in my opinion
iow,in other words
itt,in this thread
lol,laughing out loud
dgmw,don't get me wrong
smh,shaking my head
ofc,of course
sms,short message service
lmk,let me know
rofl,rolling on floor laughing
yolo,you only live once
lmao,laughing my ass off
lmfao,laughing my fucking ass off
lit,good amazing
af,as fuck
fu,fuck you
fk,fuck
tf,what the fuck
bae,babe girlfriend
dae,does anybody else
dafuq,what the fuck
dm,direct message
lul,laughing out loud
kek,laughing out loud
lulz,laughing out loud
mfw,my face when
meirl,me in real life
me_irl,me in real life
sfw,safe for work
nsfl,not safe for life
til,today i learned
fml,fuck my life
idgaf,i don’t give a fuck
ftfy,fixed that for you
eli5,explain like i'm 5
omg,oh my god
op,original poster, original post
pov,point of view
rotfl,rolling on the floor laughing
tba,to be announced
thx,thanks
tnx,thanks
ty,thank you
tyt,take your time
ttyl,talk to you later
wth,what the hell
wtf,what the fuck
2moro,tomorrow
2nte,tonight
bff,best friends, forever
brb,be right back
brt,be right there
f2f,face to face
gr8,great
idc,i don't care
idk,i don't know
ilu,i love you
ily,i love you
irl,in real life
j/k,just kidding
jk,just kidding
kms,kill myself
kys,kill yourself
l8r,later
myob,mind your own business
np,no problem
nsfw,not safe for work
nvm,never mind
omw,on my way
qt,cutie
rn,right now
ur,your
w8,wait
wb,welcome back
xoxo,hugs and kisses
xoxoxo,hugs and kisses
ppl,people
